protein_id,protein_name,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,log2FC,p_value
P00001,Protein1,1.8200910617625747,3.032000882063611,-0.9652232465103987,1.4089199482806087,-0.07198722113814762,0.6721544988146302,0.6152785653103134,-0.3080128117406221,0.7085192816025236,0.04428452722267591,0.6956025485667768,0.025672253832223976
P00002,Protein2,1.058881277651515,1.0295938139876888,0.6741392500156981,-0.643799628949087,0.6721259637170192,2.3452327729195637,1.317264018003941,-0.3893767617390565,1.1049583837325425,1.9020015850422543,0.907102067438208,0.037349096114890686
P00003,Protein3,-0.905723055543797,2.1550935924858265,0.051767321016769154,1.3452292289502552,-0.4297067562553784,-1.4851375327799987,-1.0629890173219343,1.4960692950489944,1.0563836123549268,-0.11804356463362074,0.2102943123322043,0.004997879391636491
P00004,Protein4,1.661384081711023,-0.7373060926883267,1.5787839693853065,-0.7124800715910442,-0.029035162118057636,1.2701266687004185,0.07207140854715052,0.9925455446450195,2.2827298266551175,0.09994212933610365,0.6478762302582711,0.0375519110022216
P00005,Protein5,2.080026983685863,-0.12303715141426941,1.7819096678575486,2.7820645541216695,-1.7459709932760008,0.29451437056912966,2.007134249927906,0.8509585030253015,1.2952396239505144,0.21923188187101217,0.9442071690318675,0.02782754316973172
P00006,Protein6,0.6468189134448307,-0.1294314955100923,-0.36590611436332765,0.7343064580858224,-0.49304058337993145,-0.9859229074544917,-1.0896404214667326,0.42420696594194773,-0.8963005467473981,1.2283559273890552,-0.09265538040603179,0.4813475736967108
P00007,Protein7,-1.4573505855186053,1.1875194578030266,0.14771222704183287,-0.06769917830927466,-0.3814433607662648,0.2793952800464496,-0.026344291697393853,0.772311317411565,0.07995935406342775,0.10521123302331431,0.06392714530980777,0.055427990959308546
P00008,Protein8,-0.2545285485496991,-0.03986193660474722,0.2154612382244414,-1.1971178748596378,-0.943729795473999,0.5202848658159005,0.1196058066895593,-0.12878833544687537,0.01290375314577521,0.24330719375316973,-0.14524636333061125,0.29398241319867585
P00009,Protein9,-0.377831776216553,-0.5448133077816188,0.1370916785683771,-0.6848609443305224,0.28577692900013024,-1.191808522966488,0.7204089461279505,0.3308182376891301,0.17922081401971296,0.6878836887618597,-0.04581142571280218,0.574387880619381
P00010,Protein10,1.1658321111238035,0.7100590455126913,-1.2886119619321517,-0.895703876714991,-0.4373730043869752,0.01826373514758365,0.3623613143283861,-0.5080206692074258,0.1307367351339548,-0.5287680526473257,-0.12712246236424501,0.88400825132331
P00011,Protein11,-0.42806246209436377,-0.9846627677937555,-0.6462632722776329,-0.9461792239314335,-0.6831112770841329,0.7375492576254876,-0.6645792221823601,1.8426674453861733,0.34532253061662244,0.1293852865864117,-0.12979337051489834,0.5870414979641682
P00012,Protein12,-0.6008504461268495,0.49021691558629393,-0.4029464783664417,0.085406870251753,1.7920591767881562,-0.06724192980725491,0.8044913283999731,-0.4922234975881212,-0.024491943347873187,1.239560444944857,0.2823980440734493,0.27083304390453583
P00013,Protein13,-0.43887694045143716,1.26871399059785,0.4954263548188328,-0.3937267431259873,0.44268541733886463,0.6807881147387109,0.4352669735520375,-1.0991573039233193,-0.508996023077408,-0.17326304488605332,0.07088607955820905,0.5889048476346697
P00014,Protein14,-0.052103400370032395,0.4344704682854746,0.12439070065327767,-0.9347410510970708,0.26613849570417425,0.4274100216986762,0.39185331355172787,0.7565465078882352,0.5837455081842328,0.32142605545990566,0.2319136619958601,0.5089875727584772
P00015,Protein15,-0.04911599802105292,-1.162672653461194,0.3007327533928101,0.1453813810141778,0.1901051860367614,-0.8937240030742165,-0.7567395782857836,0.7372069973330324,-0.027688607699658526,0.47705048816083706,-0.10394640346042869,0.7128685858784721
P00016,Protein16,0.01982286329132282,0.02082929764702163,0.6567986641831983,-0.3612313097521617,0.06728454385868834,-0.3235927020935297,-0.30414735920262087,-0.21642048642804754,0.15549364014359898,-0.3351240351644341,-0.06202868835169638,0.14093354300291466
P00017,Protein17,0.8790292879014645,-0.6262251115536527,-0.1308101509129513,-0.3078117407919224,1.012884519047613,0.13758834355810223,0.7222911776280444,-1.0398922611258803,0.18693518610848117,0.6227415569364059,0.14567308067957044,0.6968737171267239
P00018,Protein18,0.057598792492796924,0.7458362625457458,-0.3621019150702605,0.9865432081299058,1.609228686533475,-0.25398699230776134,-0.31185176498054024,1.0173691339823905,1.1057005020114985,-0.3660020190072878,0.4228333894329962,0.5100765918746938
P00019,Protein19,-0.2941307719671001,-0.19724922620235505,-0.9411153577239939,-0.6430563625389387,-0.7028985367264474,-0.5374582955728898,-0.024279421170746825,0.16395031277556452,1.0853503449698538,-0.6988478285171537,-0.27897351426742073,0.8685432032801454
P00020,Protein20,0.6890256789336086,-0.14979219095785626,-0.03462459675670306,0.4723736445166226,-0.785905415093609,0.2676868223288354,0.11651654574913925,0.34471588480570436,0.20241805073547267,1.718710097937626,0.284112452219884,0.34059134113288314
