gene_id,gene_name,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,log2FC,p_value
ENSMUSG00000000001,Gene1,3.3523550950632828,5.318833280940261,-1.2971351476382824,2.625938473381142,0.19871486175634612,0.5257492324706079,0.3152121515222617,-0.22798153935963206,1.597043255889654,-0.16190023282207555,1.2246829431203565,0.014507493780272489
ENSMUSG00000000002,Gene2,2.0409136515596775,1.399523781101726,1.0221039062671804,-0.31512732408319577,0.3464573388633345,3.010782451651512,2.5018343752487615,-0.4551104895971021,1.6986646108584518,3.002774246743578,1.4252816548613922,0.01453117487395288
ENSMUSG00000000003,Gene3,-1.8388105622427435,2.58672038475987,0.17475248210830663,2.641197337186319,-0.026518313085033718,-2.109764201329038,-1.7550848757663253,1.596169893322764,2.019445003442964,-0.30863325020881716,0.29794738981882657,0.029762548676280188
ENSMUSG00000000004,Gene4,2.777184917554748,-1.8230401245379197,1.3678404027053668,-0.9220323995249133,0.19632778439568166,1.5947973426328281,-0.2208267305679048,0.7308889115403493,3.512585618428881,0.3462162609537025,0.7559941983580819,0.01863649969470248
ENSMUSG00000000005,Gene5,3.171384224130284,-0.7594137093152362,2.559608355830566,4.383137241315801,-3.4432890002545786,-0.09379051094095359,2.6541442543610803,1.0939092279140146,2.2422917467426178,0.29202962656835885,1.2100011456351953,0.009759588094659297
ENSMUSG00000000006,Gene6,1.6731795749457998,1.188645529215841,3.8355641233196147,2.0088416866024263,2.1752053241504044,0.6762460677550652,0.5247875518550129,0.6348836243607582,2.288904284756594,0.6580310383594741,1.566428880532099,0.018645141129175043
ENSMUSG00000000007,Gene7,2.079549713792826,5.650801597290878,3.242249406863385,0.8479529356643177,3.9024278443278897,0.6838492539568972,-2.5762490703557077,-0.5161726218348082,-2.2415838420517114,0.7969730319173827,1.1869798249571346,0.006493423794812194
ENSMUSG00000000008,Gene8,1.5368367583791034,4.852874624550566,2.1538547475283254,1.0617989423822716,3.1588111623669786,-2.9222706180157703,1.9712291162171318,3.0417303877739337,-1.457172491559683,3.787508086413858,1.7185200716036715,0.007879092473742709
ENSMUSG00000000009,Gene9,2.1769928149888282,0.6694241721983974,2.76556373221257,6.041385715608792,1.8637325101169904,1.996441172600672,0.5812782009195118,-0.1996887389295836,3.160671633088491,-0.21216765181773445,1.8843633560986937,0.020436343136839712
ENSMUSG00000000010,Gene10,1.643132474438785,0.5446851064697666,2.457959651492784,2.167324210573897,3.5750798885157984,0.47996720229050593,0.9602501294132575,-0.45752743156461473,0.6114134798477768,2.2546009860897045,1.423688569756766,0.01733809253067737
