metabolite_id,metabolite_name,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,log2FC,p_value
C00001,Metabolite1,1.234473117920136,2.385856262790765,-0.595387547152321,1.4227453686318436,-0.12429537816114934,0.5114180283883902,0.22437974634318777,-0.3214686157276795,0.6197008066913476,0.25686405656377326,0.5614285846288294,0.01026418967203123
C00002,Metabolite2,1.334218964700205,0.701389888466738,0.28525479348186905,-0.2999945881889126,0.24492273050165217,1.7545184186490417,0.8216336693639339,-0.23024473914126087,0.9916800890457131,1.3092544237134387,0.6912633650592419,0.038884408667623944
C00003,Metabolite3,-0.4474303220149335,1.6831972244639082,-0.33662918095008054,0.7613403110580641,-0.6131561016578593,-0.639248852439972,-0.7651706972128193,1.4034143491276245,0.412878072540052,-0.19718418015323969,0.12620106227607444,0.0080581011556701
C00004,Metabolite4,-0.35543596520562054,-0.3345605405563215,0.037103106900077676,-0.11470130136517613,0.4752513776413124,-0.17148791415131454,0.25275090530574557,-0.014462442087434975,0.13483467869853538,-0.11502821779819135,-0.020573631261838792,0.5795215960289604
C00005,Metabolite5,0.3538577706248103,0.36127004014503855,0.22996451291107214,0.3037571635747522,-0.4721843887715263,0.16162288145448972,0.6246008837437668,0.24570228350974874,-0.5153587514007616,-0.0248832548245424,0.12683491409668482,0.5868261870786425
C00006,Metabolite6,0.18748896916985444,-0.37869975844915454,-0.6791355983616764,-0.1580489342182635,-0.3704162039838512,-0.0071445156949844135,-0.7957023237481442,0.2823505312680779,-0.3173025176466784,0.49787611834067796,-0.17387342333241426,0.6731460690529889
C00007,Metabolite7,-0.13844941989818907,-0.012694523192243578,-0.08651743934845892,-0.3440798450501363,1.23613973113633,-0.24793308900364236,0.5117607612328301,-0.5468144730316975,0.18606569554658048,0.23943608196591787,0.07969134803572908,0.16183253235817083
C00008,Metabolite8,-0.01208848854906483,-0.2855023598197866,-0.13166095130698197,-0.20164475098656018,1.201013140917728,-0.011301544722409757,0.2624443893319752,0.8908125452126836,-0.43815933398709067,0.018830116583968867,0.1292742762674462,0.6584512199797753
C00009,Metabolite9,-0.13459306584069447,-0.04306922274168197,-0.08950598355874272,-0.36593854281510857,0.09770514249831647,-0.5313163887080508,0.4944413686545091,0.3116549033273019,-0.24673140818200792,-0.2224916606869298,-0.07298448580530889,0.8226776425657949
C00010,Metabolite10,0.13775528117412655,-0.39927265780309124,0.9059900620674357,0.17896286434588432,0.19663157569183876,0.3407225401786429,-0.28973163703503513,0.5445049908923869,0.05726668310773198,0.4750727354994159,0.21479024381193365,0.20273064253970569
